month_start,category_group,merchant_category,purchases,spend
2025-10-01,Dining,Restaurants,6181,910215.880000
2025-10-01,Dining,Fast food,6360,531671.060000
2025-10-01,Shopping,Electronics,873,491844.630000
2025-10-01,Shopping,Clothing,1748,484795.010000
2025-10-01,Transport,E-hailing and taxis,4655,465247.200000
2025-10-01,Bills,Telco and bills,2270,460574.980000
2025-10-01,Online,Streaming and subscriptions,2592,312165.650000
2025-10-01,Everyday,Pharmacies,1645,300407.650000
2025-11-01,Online,Online marketplaces,9702,2011461.890000
2025-11-01,Everyday,Groceries,8700,1716764.410000
2025-11-01,Travel,Airlines and travel,1541,1132504.770000
2025-11-01,Transport,Fuel,4230,1006741.250000
2025-11-01,Dining,Restaurants,6832,965833.210000
2025-11-01,Dining,Fast food,7199,573202.290000
2025-11-01,Shopping,Electronics,933,545977.810000
2025-11-01,Bills,Telco and bills,2466,529073.180000
2025-11-01,Shopping,Clothing,1924,515893.680000
2025-11-01,Transport,E-hailing and taxis,5206,501740.480000
2025-11-01,Online,Streaming and subscriptions,2834,350217.670000
2025-11-01,Everyday,Pharmacies,1736,322136.990000
2025-12-01,Online,Online marketplaces,10514,2100698.910000
2025-12-01,Everyday,Groceries,9376,1789974.970000
2025-12-01,Travel,Airlines and travel,1623,1153100.600000
2025-12-01,Transport,Fuel,4518,1044149.760000
2025-12-01,Dining,Restaurants,7062,996247.040000
2025-12-01,Dining,Fast food,7429,603928.830000
2025-12-01,Shopping,Electronics,989,562713.380000
2025-12-01,Shopping,Clothing,2051,561551.040000
2025-12-01,Transport,E-hailing and taxis,5647,552188.150000
2025-12-01,Bills,Telco and bills,2687,551137.850000
2025-12-01,Online,Streaming and subscriptions,3104,371707.880000
2025-12-01,Everyday,Pharmacies,1985,357862.870000
2026-01-01,Online,Online marketplaces,11313,2120184.680000
2026-01-01,Everyday,Groceries,10087,1814050.790000
2026-01-01,Travel,Airlines and travel,1740,1210087.470000
2026-01-01,Transport,Fuel,4898,1063709.070000
2026-01-01,Dining,Restaurants,7902,1018263.300000
2026-01-01,Shopping,Clothing,2356,596228.120000
2026-01-01,Shopping,Electronics,1107,594608.590000
2026-01-01,Dining,Fast food,8071,586807.210000
2026-01-01,Bills,Telco and bills,2946,566051.860000
2026-01-01,Transport,E-hailing and taxis,5994,538508.380000
2026-01-01,Online,Streaming and subscriptions,3494,377554.290000
2026-01-01,Everyday,Pharmacies,2053,319679.050000
2026-02-01,Online,Online marketplaces,12315,2280554.630000
2026-02-01,Everyday,Groceries,10775,1920483.820000
2026-02-01,Travel,Airlines and travel,1839,1200754.930000
2026-02-01,Transport,Fuel,5225,1167641.810000
2026-02-01,Dining,Restaurants,8433,1088003.770000
2026-02-01,Dining,Fast food,8747,664079.450000
2026-02-01,Shopping,Electronics,1211,656156.750000
2026-02-01,Shopping,Clothing,2432,651782.250000
2026-02-01,Bills,Telco and bills,3112,613131.300000
2026-02-01,Transport,E-hailing and taxis,6578,594832.590000
2026-02-01,Online,Streaming and subscriptions,3533,396962.440000
2026-02-01,Everyday,Pharmacies,2264,384087.450000
2026-03-01,Online,Online marketplaces,13050,2420986.950000
2026-03-01,Everyday,Groceries,11793,2109624.450000
2026-03-01,Travel,Airlines and travel,2037,1308228.260000
2026-03-01,Dining,Restaurants,9137,1187925.020000
2026-03-01,Transport,Fuel,5567,1179337.590000
2026-03-01,Dining,Fast food,9419,695279.750000
2026-03-01,Shopping,Electronics,1285,685767.550000
2026-03-01,Shopping,Clothing,2649,669959.530000
2026-03-01,Bills,Telco and bills,3439,663896.960000
2026-03-01,Transport,E-hailing and taxis,6954,621345.770000
2026-03-01,Online,Streaming and subscriptions,3860,431403.640000
2026-03-01,Everyday,Pharmacies,2285,372154.250000
2026-04-01,Online,Online marketplaces,14045,2661229.500000
2026-04-01,Everyday,Groceries,12664,2276133.130000
2026-04-01,Travel,Airlines and travel,2150,1424006.740000
2026-04-01,Transport,Fuel,6104,1331306.900000
2026-04-01,Dining,Restaurants,9749,1266941.410000
2026-04-01,Dining,Fast food,10242,759674.250000
2026-04-01,Shopping,Clothing,2789,748450.910000
2026-04-01,Shopping,Electronics,1373,735183.700000
2026-04-01,Transport,E-hailing and taxis,7453,668309.290000
2026-04-01,Bills,Telco and bills,3510,656879.360000
2026-04-01,Online,Streaming and subscriptions,4232,447030.270000
2026-04-01,Everyday,Pharmacies,2606,427053.050000
2026-05-01,Online,Online marketplaces,15144,2838581.320000
2026-05-01,Everyday,Groceries,13588,2392622.310000
2026-05-01,Travel,Airlines and travel,2335,1568700.090000
2026-05-01,Transport,Fuel,6454,1420767.070000
2026-05-01,Dining,Restaurants,10410,1339517.040000
2026-05-01,Dining,Fast food,10732,812668.910000
2026-05-01,Shopping,Clothing,3021,785973.900000
2026-05-01,Transport,E-hailing and taxis,8024,732840.380000
2026-05-01,Shopping,Electronics,1459,730644.980000
2026-05-01,Bills,Telco and bills,3757,716750.040000
2026-05-01,Online,Streaming and subscriptions,4583,512094.210000
2026-05-01,Everyday,Pharmacies,2778,454778.550000
2026-06-01,Online,Online marketplaces,16091,3027788.820000
2026-06-01,Everyday,Groceries,14230,2507019.140000
2026-06-01,Travel,Airlines and travel,2419,1566472.060000
2026-06-01,Transport,Fuel,6909,1452587.580000
2026-06-01,Dining,Restaurants,11181,1421662.700000
2026-06-01,Dining,Fast food,11677,856131.760000
2026-06-01,Shopping,Clothing,3233,853009.030000
2026-06-01,Shopping,Electronics,1533,838908.630000
2026-06-01,Bills,Telco and bills,4116,791194.000000
2026-06-01,Transport,E-hailing and taxis,8378,758539.660000
2026-06-01,Online,Streaming and subscriptions,4718,535440.360000
2026-06-01,Everyday,Pharmacies,2891,486334.720000
2026-07-01,Online,Online marketplaces,16966,3097872.920000
2026-07-01,Everyday,Groceries,15049,2638865.140000
2026-07-01,Travel,Airlines and travel,2605,1742131.640000
2026-07-01,Transport,Fuel,7408,1565401.570000
2026-07-01,Dining,Restaurants,11721,1447664.480000
2026-07-01,Shopping,Clothing,3533,888443.980000
2026-07-01,Dining,Fast food,12239,860295.910000
2026-07-01,Shopping,Electronics,1585,831718.640000
2026-07-01,Transport,E-hailing and taxis,9123,795109.370000
2026-07-01,Bills,Telco and bills,4334,787400.340000
2026-07-01,Online,Streaming and subscriptions,5121,551562.440000
2026-07-01,Everyday,Pharmacies,3051,480233.480000
2026-08-01,Online,Online marketplaces,17904,3295801.890000
2026-08-01,Everyday,Groceries,16222,2850185.560000
2026-08-01,Travel,Airlines and travel,2852,1870546.680000
2026-08-01,Transport,Fuel,7901,1630814.130000
2026-08-01,Dining,Restaurants,12548,1601444.980000
2026-08-01,Shopping,Clothing,3729,969857.130000
2026-08-01,Dining,Fast food,12927,938421.000000
2026-08-01,Shopping,Electronics,1760,924445.610000
2026-08-01,Transport,E-hailing and taxis,9811,907202.130000
2026-08-01,Bills,Telco and bills,4466,845930.880000
2026-08-01,Online,Streaming and subscriptions,5461,586004.550000
2026-08-01,Everyday,Pharmacies,3336,506692.500000
