month_start,channel,channel_name,is_paid,applications_started,new_customers,spend,cost_per_new_customer,m3_active_customers,m3_active_rate,cost_per_m3_active_customer
2026-07-01,google_search,Google Search,True,575,314,13295.900000,42.343631,,,
2026-07-01,meta_ads,Meta (Facebook and Instagram),True,651,354,9997.230000,28.240763,,,
2026-07-01,organic,Organic (app stores and direct),False,932,503,0.000000,,,,
2026-07-01,referral,Refer a friend,True,402,224,7840.000000,35.000000,,,
2026-07-01,tiktok,TikTok,True,789,406,6919.500000,17.043103,,,
2026-08-01,affiliate,Cashback affiliates,True,364,202,5136.000000,25.425743,,,
2026-08-01,google_search,Google Search,True,595,329,13697.080000,41.632462,,,
2026-08-01,meta_ads,Meta (Facebook and Instagram),True,628,356,,,,,
2026-08-01,organic,Organic (app stores and direct),False,879,458,0.000000,,,,
2026-08-01,referral,Refer a friend,True,371,201,7035.000000,35.000000,,,
2026-08-01,tiktok,TikTok,True,802,426,6736.650000,15.813732,,,
