"customer_id","applicant_id","open_date","birth_year","state","employment_type","monthly_income_band","risk_rating","fraud_flag_date","customer_status","last_updated_at"
"C0000047","A0000114","02/09/2024",1988,"Malacca","Student","2k-4k","medium","","ACTIVE","2024-09-02T16:14:33"
"C0000048","A0000116","02/09/2024",2000,"Kuala Lumpur","Salaried","4k-6k","low","","ACTIVE","2024-09-02T16:24:40"
"C0000049","A0000052","02/09/2024",1987,"Johor","STUDENT","<2k","low","","ACTIVE","2024-09-02T16:52:42"
"C0000050","A0000119","03/09/2024",1996,"Selangor","Salaried","2k-4k","medium","","ACTIVE","2024-09-02T17:32:49"
"C0000051","A0000121","03/09/2024",1999,"Selangor","Salaried","2k-4k","low","","ACTIVE","2024-09-02T18:11:47"
"C0000052","A0000122","03/09/2024",1983,"Selangor","SALARIED","2k-4k","medium","","ACTIVE","2024-09-02T20:44:16"
"C0000053","A0000126","03/09/2024",1992,"SARAWAK","STUDENT","2k-4k","low","","ACTIVE","2024-09-03T00:03:25"
"C0000054","A0000129","03/09/2024",2001,"P. Pinang","Student","<2k","low","","ACTIVE","2024-09-03T00:35:46"
"C0000055","A0000131","03/09/2024",1995,"KL","SALARIED","2k-4k","low","","CLOSED","2024-09-03T02:19:42"
"C0000056","A0000130","03/09/2024",1994,"Terengganu","Student","4k-6k","medium","","ACTIVE","2024-09-03T02:22:09"
"C0000057","A0000137","03/09/2024",1998,"W.P. Kuala Lumpur","SALARIED","2k-4k","low","","ACTIVE","2024-09-03T03:41:39"
"C0000058","A0000136","03/09/2024",1990,"Selangor","Salaried","4k-6k","low","","ACTIVE","2024-09-03T03:44:05"
"C0000059","A0000138","03/09/2024",1992,"Johor","STUDENT","<2k","medium","","ACTIVE","2024-09-03T03:49:41"
"C0000060","A0000141","03/09/2024",1992,"KL","STUDENT","<2k","low","","ACTIVE","2024-09-03T04:47:32"
"C0000061","A0000146","03/09/2024",1989,"WP Kuala Lumpur","Retired","6k-10k","low","","ACTIVE","2024-09-03T05:41:41"
"C0000062","A0000152","03/09/2024",1996,"Selangor","STUDENT","2k-4k","low","","CLOSED","2024-09-03T08:12:35"
"C0000063","A0000155","03/09/2024",2001,"PERAK","salaried","2k-4k","medium","","ACTIVE","2024-09-03T09:12:13"
"C0000064","A0000153","03/09/2024",1996,"Pahang","Student","2k-4k","low","","ACTIVE","2024-09-03T09:14:06"
"C0000065","A0000042","03/09/2024",1971,"Selangor","Salaried","6k-10k","low","","ACTIVE","2024-09-03T09:25:25"
"C0000066","A0000108","03/09/2024",1982,"Penang","Salaried","4k-6k","medium","","ACTIVE","2024-09-03T10:48:35"
"C0000067","A0000157","03/09/2024",2001,"Selangor Darul Ehsan","STUDENT","<2k","low","","ACTIVE","2024-09-03T11:02:14"
"C0000068","A0000158","03/09/2024",1988,"Johor","SELF EMPLOYED","6k-10k","high","","CLOSED","2024-09-03T12:10:12"
"C0000069","A0000159","03/09/2024",1995,"Sarawak","Salaried","2k-4k","low","","ACTIVE","2024-09-03T12:25:26"
"C0000070","A0000163","03/09/2024",1994,"Pulau Pinang","Self-employed","2k-4k","medium","","ACTIVE","2024-09-03T13:47:19"
"C0000071","A0000080","03/09/2024",1987,"Pahang","Salaried","2k-4k","medium","","ACTIVE","2024-09-03T14:34:04"
"C0000072","A0000166","03/09/2024",1988,"SARAWAK","Student","2k-4k","low","","ACTIVE","2024-09-03T15:36:13"
"C0000073","A0000118","03/09/2024",1999,"WP Kuala Lumpur","Salaried","6k-10k","low","","ACTIVE","2024-09-03T16:07:23"
"C0000074","A0000145","04/09/2024",1990,"Kuala Lumpur","STUDENT","2k-4k","low","","CLOSED","2024-09-03T19:08:10"
"C0000075","A0000176","04/09/2024",1989,"Negeri Sembilan","Unemployed","<2k","low","","ACTIVE","2024-09-04T02:38:16"
"C0000076","A0000175","04/09/2024",1998,"Kuala Lumpur","Salaried","4k-6k","low","","ACTIVE","2024-09-04T02:38:37"
"C0000077","A0000178","04/09/2024",1992,"Sarawak","Student","2k-4k","low","","ACTIVE","2024-09-04T03:56:30"
"C0000078","A0000179","04/09/2024",1988,"PENANG","Self-employed",">10k","low","","ACTIVE","2024-09-04T04:00:14"
"C0000079","A0000180","04/09/2024",1991,"Kuala Lumpur","Salaried","2k-4k","low","","ACTIVE","2024-09-04T04:50:45"
"C0000080","A0000140","04/09/2024",1979,"Johor","Salaried","<2k","low","","ACTIVE","2024-09-04T05:21:14"
"C0000081","A0000151","04/09/2024",1984,"SARAWAK","self_employed","4k-6k","low","","ACTIVE","2024-09-04T06:50:14"
"C0000082","A0000149","04/09/2024",1997,"Selangor","salaried","2k-4k","low","","ACTIVE","2024-09-04T07:37:41"
"C0000083","A0000186","04/09/2024",1990,"Kedah","Salaried","4k-6k","low","","ACTIVE","2024-09-04T08:07:29"
"C0000084","A0000191","04/09/2024",1990,"Selangor","STUDENT","2k-4k","low","","CLOSED","2024-09-04T10:41:34"
"C0000085","A0000200","04/09/2024",1997,"Kelantan","SALARIED","<2k","medium","","ACTIVE","2024-09-04T12:46:07"
"C0000086","A0000203","04/09/2024",2001,"Selangor Darul Ehsan","Salaried","<2k","high","","ACTIVE","2024-09-04T13:29:58"
"C0000087","A0000204","04/09/2024",1999,"Kuala Lumpur","Student","2k-4k","low","","CLOSED","2024-09-04T13:35:01"
"C0000088","A0000210","04/09/2024",1993,"SABAH","Student","<2k","low","","ACTIVE","2024-09-04T14:58:49"
"C0000089","A0000133","04/09/2024",1971,"SELANGOR","STUDENT","2k-4k","medium","","ACTIVE","2024-09-04T15:40:31"
"C0000090","A0000170","04/09/2024",1976,"Kuala Lumpur","Student","2k-4k","low","","ACTIVE","2024-09-04T15:56:19"
"C0000091","A0000214","04/09/2024",1992,"Terengganu","Salaried","6k-10k","low","","ACTIVE","2024-09-04T16:29:13"
"C0000092","A0000215","04/09/2024",1996,"Melaka","STUDENT","<2k","low","","CLOSED","2024-09-04T16:35:08"
"C0000093","A0000167","05/09/2024",1998,"Labuan","Student","2k-4k","low","","ACTIVE","2024-09-04T17:39:45"
"C0000094","A0000188","05/09/2024",1991,"Selangor Darul Ehsan","Self-employed","4k-6k","medium","","ACTIVE","2024-09-04T22:47:54"
"C0000095","A0000192","05/09/2024",1996,"Pulau Pinang","Salaried","2k-4k","low","","ACTIVE","2024-09-05T00:39:23"
"C0000096","A0000219","05/09/2024",1996,"Selangor Darul Ehsan","salaried","6k-10k","low","","ACTIVE","2024-09-05T01:08:39"
"C0000097","A0000220","05/09/2024",1989,"Melaka","salaried","4k-6k","low","","ACTIVE","2024-09-05T01:12:59"
"C0000098","A0000222","05/09/2024",1989,"Johore","SALARIED","6k-10k","low","","ACTIVE","2024-09-05T02:10:50"
"C0000099","A0000223","05/09/2024",1994,"Negeri Sembilan","STUDENT","6k-10k","low","","ACTIVE","2024-09-05T03:02:02"
"C0000100","A0000229","05/09/2024",1988,"Kedah","Self-employed","4k-6k","medium","","ACTIVE","2024-09-05T04:20:42"
"C0000101","A0000231","05/09/2024",1998,"KL","Salaried","4k-6k","low","","ACTIVE","2024-09-05T04:50:51"
"C0000102","A0000202","05/09/2024",1979,"SABAH","Self-employed","2k-4k","low","","ACTIVE","2024-09-05T04:55:47"
"C0000103","A0000232","05/09/2024",1984,"Selangor","Salaried","4k-6k","low","","ACTIVE","2024-09-05T05:22:29"
"C0000104","A0000235","05/09/2024",1997,"Selangor","Student","2k-4k","low","","ACTIVE","2024-09-05T06:16:54"
"C0000105","A0000193","05/09/2024",1996,"Selangor","Retired",">10k","medium","","ACTIVE","2024-09-05T08:38:38"
"C0000106","A0000240","05/09/2024",1999,"Malacca","Salaried","2k-4k","low","","ACTIVE","2024-09-05T09:24:28"
"C0000107","A0000243","05/09/2024",1988,"Kuala Lumpur","SALARIED","4k-6k","medium","","ACTIVE","2024-09-05T09:32:48"
"C0000108","A0000241","05/09/2024",1990,"SABAH","Salaried","4k-6k","low","","ACTIVE","2024-09-05T09:36:50"
"C0000109","A0000244","05/09/2024",1983,"SELANGOR","SELF EMPLOYED","2k-4k","low","","ACTIVE","2024-09-05T09:50:07"
"C0000110","A0000245","05/09/2024",1991,"Sabah","Student","2k-4k","low","","ACTIVE","2024-09-05T10:05:57"
"C0000111","A0000249","05/09/2024",1992,"Sarawak","SALARIED","4k-6k","medium","","ACTIVE","2024-09-05T10:28:52"
"C0000112","A0000228","05/09/2024",1997,"Kedah","Salaried","2k-4k","medium","","ACTIVE","2024-09-05T10:34:48"
"C0000112","A0000228","05/09/2024",1997,"Kedah","Salaried","2k-4k","high","","ACTIVE","2025-03-04T09:34:48"
"C0000113","A0000160","05/09/2024",2000,"Sarawak","SALARIED","6k-10k","low","","ACTIVE","2024-09-05T10:39:35"
"C0000114","A0000252","05/09/2024",1982,"Kuala Lumpur","Salaried","6k-10k","low","","ACTIVE","2024-09-05T11:33:56"
"C0000115","A0000255","05/09/2024",1991,"Selangor","salaried","2k-4k","low","","ACTIVE","2024-09-05T12:43:34"
"C0000116","A0000162","05/09/2024",1991,"Johor","Self-employed","6k-10k","low","","ACTIVE","2024-09-05T13:10:59"
"C0000117","A0000257","05/09/2024",1998,"Putrajaya","SALARIED","4k-6k","medium","","ACTIVE","2024-09-05T14:13:06"
"C0000118","A0000259","05/09/2024",1995,"Selangor","self_employed","2k-4k","low","","ACTIVE","2024-09-05T15:46:57"
"C0000119","A0000258","05/09/2024",1994,"Kedah","Salaried","4k-6k","low","","ACTIVE","2024-09-05T15:50:40"
"C0000120","A0000247","05/09/2024",1984,"Kelantan","salaried","6k-10k","low","","ACTIVE","2024-09-05T16:26:03"
"C0000121","A0000261","06/09/2024",1991,"Kedah","SALARIED","2k-4k","low","","CLOSED","2024-09-05T18:01:24"
"C0000122","A0000236","06/09/2024",1997,"Melaka","Salaried","2k-4k","low","","ACTIVE","2024-09-05T18:46:50"
"C0000123","A0000234","06/09/2024",2001,"Johor","Student","2k-4k","low","","ACTIVE","2024-09-05T19:11:00"
"C0000124","A0000263","06/09/2024",1993,"Selangor","Salaried","2k-4k","low","","ACTIVE","2024-09-05T21:40:07"
"C0000125","A0000264","06/09/2024",1987,"SARAWAK","Student","2k-4k","low","","ACTIVE","2024-09-05T23:25:25"
"C0000126","A0000230","06/09/2024",2001,"Selangor Darul Ehsan","Student","2k-4k","medium","","ACTIVE","2024-09-06T03:01:05"
"C0000127","A0000273","06/09/2024",1989,"Johor","Salaried","2k-4k","low","","ACTIVE","2024-09-06T03:52:31"
"C0000128","A0000277","06/09/2024",1987,"Selangor Darul Ehsan","Salaried","2k-4k","low","","ACTIVE","2024-09-06T04:53:30"
"C0000129","A0000280","06/09/2024",1985,"Selangor","salaried","6k-10k","low","","ACTIVE","2024-09-06T05:52:29"
"C0000130","A0000285","06/09/2024",2000,"Johor Darul Takzim","STUDENT","2k-4k","low","","ACTIVE","2024-09-06T06:53:03"
"C0000131","A0000256","06/09/2024",1992,"Selangor Darul Ehsan","Salaried","2k-4k","low","","ACTIVE","2024-09-06T07:14:01"
"C0000132","A0000286","06/09/2024",1990,"Melaka","salaried","4k-6k","low","","ACTIVE","2024-09-06T08:08:45"
"C0000133","A0000265","06/09/2024",1995,"Malacca","SALARIED","2k-4k","low","","CLOSED","2024-09-06T09:03:35"
"C0000134","A0000290","06/09/2024",1995,"Kuala Lumpur","Student","2k-4k","medium","","ACTIVE","2024-09-06T09:50:37"
"C0000135","A0000237","06/09/2024",1998,"Sarawak","salaried","4k-6k","low","","ACTIVE","2024-09-06T11:23:08"
"C0000136","A0000294","06/09/2024",2001,"Selangor","Student","4k-6k","low","","ACTIVE","2024-09-06T12:57:45"
"C0000137","A0000206","06/09/2024",1994,"Pulau Pinang","Not working","<2k","low","","ACTIVE","2024-09-06T13:43:47"
"C0000138","A0000297","06/09/2024",2001,"Kuala Lumpur","salaried","4k-6k","low","","CLOSED","2024-09-06T14:06:49"
"C0000139","A0000298","06/09/2024",1986,"Selangor","Self-employed","2k-4k","low","","ACTIVE","2024-09-06T14:29:44"
"C0000140","A0000212","06/09/2024",1996,"SELANGOR","STUDENT","2k-4k","low","","CLOSED","2024-09-06T15:06:54"
"C0000141","A0000304","06/09/2024",1988,"JOHOR","Retired","6k-10k","low","","ACTIVE","2024-09-06T16:31:15"
"C0000142","A0000305","07/09/2024",1990,"PERAK","Salaried",">10k","low","","ACTIVE","2024-09-06T17:12:12"
"C0000143","A0000284","07/09/2024",1985,"Pahang","Student","<2k","low","","ACTIVE","2024-09-06T20:23:05"
"C0000144","A0000308","07/09/2024",1988,"Selangor Darul Ehsan","Salaried","2k-4k","medium","","ACTIVE","2024-09-07T01:26:56"
"C0000145","A0000311","07/09/2024",2000,"Kedah","Salaried","2k-4k","low","","ACTIVE","2024-09-07T03:09:53"
"C0000146","A0000296","07/09/2024",1999,"Terengganu","Student","2k-4k","low","","ACTIVE","2024-09-07T03:26:32"
"C0000147","A0000314","07/09/2024",2002,"Johor Darul Takzim","Salaried","6k-10k","medium","","ACTIVE","2024-09-07T03:59:11"
"C0000148","A0000320","07/09/2024",1988,"WP Kuala Lumpur","Salaried","2k-4k","low","","ACTIVE","2024-09-07T06:24:41"
"C0000149","A0000325","07/09/2024",2000,"Johor","Salaried","4k-6k","low","","ACTIVE","2024-09-07T07:03:08"
"C0000150","A0000205","07/09/2024",1990,"Kedah","Salaried","2k-4k","medium","","ACTIVE","2024-09-07T07:09:58"
"C0000151","A0000327","07/09/2024",1984,"Johore","Retired","6k-10k","low","","ACTIVE","2024-09-07T07:20:58"
"C0000152","A0000328","07/09/2024",1996,"Selangor","Not working","<2k","low","","ACTIVE","2024-09-07T07:34:10"
"C0000153","A0000329","07/09/2024",1993,"Selangor","Salaried","2k-4k","low","","ACTIVE","2024-09-07T07:34:59"
"C0000154","A0000312","07/09/2024",1991,"Perak","Salaried","4k-6k","low","","ACTIVE","2024-09-07T08:35:00"
"C0000155","A0000332","07/09/2024",2002,"SELANGOR","Student","4k-6k","low","","ACTIVE","2024-09-07T09:17:37"
"C0000156","A0000317","07/09/2024",1993,"Selangor Darul Ehsan","Self-employed","4k-6k","medium","","ACTIVE","2024-09-07T10:15:46"
"C0000157","A0000339","07/09/2024",1999,"Sarawak","SALARIED","2k-4k","low","","ACTIVE","2024-09-07T10:54:42"
"C0000158","A0000340","07/09/2024",1993,"Negri Sembilan","Student","2k-4k","medium","","ACTIVE","2024-09-07T11:06:34"
"C0000159","A0000343","07/09/2024",1991,"Selangor Darul Ehsan","Not working","2k-4k","low","","ACTIVE","2024-09-07T11:37:30"
"C0000160","A0000342","07/09/2024",2000,"KL","Self-employed","<2k","low","","CLOSED","2024-09-07T11:45:03"
"C0000161","A0000345","07/09/2024",1997,"Terengganu","SALARIED","2k-4k","low","","ACTIVE","2024-09-07T12:11:22"
"C0000162","A0000347","07/09/2024",1994,"Terengganu","SALARIED","4k-6k","low","","ACTIVE","2024-09-07T12:15:50"
"C0000163","A0000292","07/09/2024",1999,"Terengganu","Self-employed","2k-4k","low","","ACTIVE","2024-09-07T12:39:39"
"C0000164","A0000352","07/09/2024",1991,"Kedah","STUDENT","4k-6k","low","","CLOSED","2024-09-07T15:00:47"
"C0000165","A0000357","07/09/2024",1995,"SARAWAK","Salaried","6k-10k","low","","ACTIVE","2024-09-07T15:30:52"
"C0000166","A0000358","07/09/2024",1987,"Selangor","Self-employed","2k-4k","low","","ACTIVE","2024-09-07T15:44:33"
"C0000167","A0000360","07/09/2024",2001,"Melaka","SALARIED","2k-4k","high","","ACTIVE","2024-09-07T16:30:24"
"C0000168","A0000362","08/09/2024",1998,"Sarawak","Student","<2k","low","","ACTIVE","2024-09-07T17:06:20"
"C0000169","A0000365","08/09/2024",2005,"N. Sembilan","Salaried","4k-6k","medium","","ACTIVE","2024-09-07T18:23:35"
"C0000170","A0000307","08/09/2024",1996,"Johor Darul Takzim","Salaried","2k-4k","low","","ACTIVE","2024-09-07T23:16:35"
"C0000171","A0000367","08/09/2024",1990,"Selangor Darul Ehsan","Salaried","4k-6k","low","","ACTIVE","2024-09-07T23:27:29"
"C0000172","A0000370","08/09/2024",1997,"Selangor","STUDENT","2k-4k","low","","ACTIVE","2024-09-08T02:30:40"
"C0000173","A0000374","08/09/2024",2001,"Kelantan","SALARIED","2k-4k","medium","","ACTIVE","2024-09-08T03:24:46"
"C0000174","A0000375","08/09/2024",1995,"Perak","Not working","2k-4k","medium","","ACTIVE","2024-09-08T03:47:24"
"C0000175","A0000378","08/09/2024",1983,"Melaka","Salaried","<2k","low","","ACTIVE","2024-09-08T04:07:24"
"C0000176","A0000283","08/09/2024",2000,"Sarawak","Student","2k-4k","low","","ACTIVE","2024-09-08T04:26:53"
"C0000177","A0000380","08/09/2024",2000,"Perak","Salaried","<2k","low","","ACTIVE","2024-09-08T05:24:32"
"C0000178","A0000291","08/09/2024",2004,"SARAWAK","Student","4k-6k","low","25/09/2024","ACTIVE","2024-09-08T06:48:42"
"C0000179","A0000315","08/09/2024",1989,"Selangor Darul Ehsan","Salaried","6k-10k","low","","ACTIVE","2024-09-08T07:41:20"
"C0000180","A0000354","08/09/2024",1985,"Kelantan","Salaried","<2k","low","","ACTIVE","2024-09-08T07:53:33"
"C0000181","A0000386","08/09/2024",2000,"SARAWAK","SALARIED","2k-4k","medium","","ACTIVE","2024-09-08T07:55:38"
"C0000182","A0000387","08/09/2024",1995,"N. Sembilan","Salaried","2k-4k","low","","ACTIVE","2024-09-08T08:21:13"
"C0000183","A0000388","08/09/2024",2000,"Kuala Lumpur","STUDENT","2k-4k","high","","CLOSED","2024-09-08T09:18:24"
"C0000184","A0000346","08/09/2024",1994,"Selangor","Unemployed","<2k","low","","ACTIVE","2024-09-08T10:06:24"
"C0000185","A0000338","08/09/2024",1980,"JOHOR","Salaried","4k-6k","low","","ACTIVE","2024-09-08T11:06:59"
"C0000186","A0000394","08/09/2024",1982,"Selangor","SELF EMPLOYED","2k-4k","low","","ACTIVE","2024-09-08T11:11:06"
"C0000187","A0000395","08/09/2024",2000,"Perak","SALARIED","4k-6k","medium","","ACTIVE","2024-09-08T11:25:31"
"C0000188","A0000397","08/09/2024",1996,"Sabah","STUDENT","4k-6k","low","","CLOSED","2024-09-08T12:17:30"
"C0000189","A0000402","08/09/2024",1989,"Sabah","Self-employed","4k-6k","low","","ACTIVE","2024-09-08T13:00:36"
"C0000190","A0000401","08/09/2024",1975,"Pulau Pinang","Salaried","4k-6k","low","","ACTIVE","2024-09-08T13:01:43"
"C0000191","A0000405","08/09/2024",1995,"Johore","Salaried","<2k","low","","ACTIVE","2024-09-08T13:42:08"
"C0000192","A0000382","08/09/2024",2004,"Selangor","Salaried","2k-4k","low","","CLOSED","2024-09-08T16:36:13"
"C0000193","A0000410","08/09/2024",1991,"Pulau Pinang","Salaried","4k-6k","low","","ACTIVE","2024-09-08T16:47:01"
"C0000194","A0000411","09/09/2024",1998,"PERAK","SELF EMPLOYED","6k-10k","low","","ACTIVE","2024-09-08T17:11:04"
"C0000195","A0000363","09/09/2024",1993,"W.P. Kuala Lumpur","SELF EMPLOYED","2k-4k","medium","","ACTIVE","2024-09-08T18:54:03"
"C0000196","A0000383","09/09/2024",2001,"Penang","STUDENT","2k-4k","low","","CLOSED","2024-09-08T22:27:38"
"C0000197","A0000414","09/09/2024",2000,"Pulau Pinang","Salaried","<2k","low","","ACTIVE","2024-09-08T23:27:45"
"C0000198","A0000334","09/09/2024",1996,"W.P. Labuan","SALARIED","2k-4k","low","","ACTIVE","2024-09-08T23:35:24"
"C0000199","A0000417","09/09/2024",1991,"Selangor","SELF EMPLOYED","2k-4k","low","","ACTIVE","2024-09-09T00:54:13"
