"auth_id","card_id","auth_ts","amount","currency","mcc","merchant_category","entry_mode","response_code","status","settlement_date","record_updated_at"
"AU0000000030","DC00000089","2024-09-07 15:13:58","67.62","MYR",5411,"GROCERIES","CONTACTLESS","00","APPROVED","20240908","2024-09-07T21:00:00"
"AU0000000032","DC00000013","2024-09-07 23:15:57","21.03","MYR",5812,"Restaurants","CONTACTLESS","00","Approved","20240908","2024-09-07T21:00:00"
"AU0000000034","DC00000011","2024-09-08 05:04:13","402.82","MYR",5732,"Electronics","CHIP","51","DECL","","2024-09-08T05:04:18"
"AU0000000027","DC00000041","2024-09-07 12:22:50","3.86","MYR",5814,"fast food","CTLS","00","APPR","20240909","2024-09-08T21:00:00"
"AU0000000028","DC00000018","2024-09-07 13:45:30","73.78","MYR",5399,"online marketplaces","ECOM","00","APPROVED","20240908","2024-09-08T21:00:00"
"AU0000000031","DC00000056","2024-09-07 19:09:25","12.95","MYR",5541,"Fuel","EMV","00","APPROVED","20240909","2024-09-08T21:00:00"
"AU0000000033","DC00000085","2024-09-08 04:06:09","87.05","MYR",5411,"Groceries","CONTACTLESS","00","Approved","20240909","2024-09-08T21:00:00"
"AU0000000035","DC00000078","2024-09-08 05:14:52","21.48","MYR",5411,"Groceries","CONTACTLESS","00","APPROVED","20240909","2024-09-08T21:00:00"
"AU0000000036","DC00000106","2024-09-08 07:42:37","248.75","MYR",5399,"ONLINE MARKETPLACES","ECOM","00","approved","20240909","2024-09-08T21:00:00"
"AU0000000038","DC00000107","2024-09-08 09:25:01","88.44","MYR",5812,"RESTAURANTS","contactless","00","APPR","20240909","2024-09-08T21:00:00"
"AU0000000039","DC00000103","2024-09-08 10:25:22","26.99","MYR",5912,"Pharmacies","CTLS","00","APPROVED","20240909","2024-09-08T21:00:00"
"AU0000000040","DC00000104","2024-09-08 13:43:26","12.53","MYR",5411,"Groceries","CHIP","00","APPROVED","20240909","2024-09-08T21:00:00"
"AU0000000041","DC00000163","2024-09-08 15:14:06","22.26","MYR",5814,"Fast food","contactless","00","Approved","20240909","2024-09-08T21:00:00"
"AU0000000042","DC00000045","2024-09-08 15:20:43","171.01","MYR",5912,"PHARMACIES","chip","00","APPROVED","20240909","2024-09-08T21:00:00"
"AU0000000048","DC00000013","2024-09-09 02:10:38","16.51","MYR",4899,"Streaming and subscriptions","ECOM","00","APPROVED","20240909","2024-09-08T21:00:00"
"AU0000000051","DC00000125","2024-09-09 04:31:37","122.66","MYR",5814,"Fast food","CHIP","00","APPROVED","20240909","2024-09-08T21:00:00"
"AU0000000055","DC00000106","2024-09-09 08:57:24","55.56","MYR",4121,"E-hailing and taxis","CHIP","00","APPROVED","20240909","2024-09-08T21:00:00"
"AU0000000037","DC00000011","2024-09-08 08:52:51","495.59","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000043","DC00000085","2024-09-08 18:45:21","20.78","MYR",5814,"Fast food","EMV","00","Approved","20240910","2024-09-09T21:00:00"
"AU0000000044","DC00000170","2024-09-08 21:06:05","40.33","MYR",5812,"Restaurants","CONTACTLESS","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000045","DC00000154","2024-09-08 23:25:21","238.78","MYR",5411,"Groceries","contactless","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000049","DC00000103","2024-09-09 02:44:10","160.86","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000052","DC00000011","2024-09-09 05:03:51","506.96","MYR",5541,"FUEL","CONTACTLESS","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000053","DC00000012","2024-09-09 06:32:09","213.19","MYR",5812,"Restaurants","EMV","00","APPR","20240910","2024-09-09T21:00:00"
"AU0000000054","DC00000163","2024-09-09 06:48:10","39.56","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000057","DC00000170","2024-09-09 09:41:53","39.77","MYR",5812,"Restaurants","CTLS","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000060","DC00000103","2024-09-09 10:17:32","92.60","MYR",5411,"Groceries","CONTACTLESS","00","APPR","20240910","2024-09-09T21:00:00"
"AU0000000061","DC00000091","2024-09-09 11:41:17","111.55","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000062","DC00000084","2024-09-09 12:32:08","263.58","MYR",4511,"AIRLINES AND TRAVEL","ECOM","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000064","DC00000085","2024-09-09 15:01:47","30.02","MYR",5812,"Restaurants","CONTACTLESS","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000066","DC00000091","2024-09-09 15:34:54","42.24","MYR",5812,"Restaurants","CONTACTLESS","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000068","DC00000104","2024-09-09 19:13:50","13.62","MYR",4814,"TELCO AND BILLS","CTLS","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000075","DC00000123","2024-09-10 05:06:32","204.17","MYR",5651,"clothing","CONTACTLESS","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000081","DC00000041","2024-09-10 10:25:06","15.51","MYR",5411,"GROCERIES","CHIP","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000084","DC00000011","2024-09-10 12:19:10","151.98","MYR",5399,"Online marketplaces","online","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000089","DC00000178","2024-09-10 15:04:07","8.51","MYR",5812,"Restaurants","CONTACTLESS","00","APPROVED","20240910","2024-09-09T21:00:00"
"AU0000000047","DC00000119","2024-09-09 01:45:31","258.16","MYR",4814,"Telco and bills","CONTACTLESS","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000050","DC00000012","2024-09-09 03:15:19","105.74","MYR",5411,"Groceries","CONTACTLESS","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000052","DC00000011","2024-09-09 05:03:51","506.96","MYR",5541,"FUEL","CONTACTLESS","00","APPROVED","20240910","2024-09-10T21:00:00"
"AU0000000056","DC00000163","2024-09-09 09:02:03","45.07","MYR",4814,"Telco and bills","CTLS","00","Approved","20240911","2024-09-10T21:00:00"
"AU0000000058","DC00000089","2024-09-09 09:54:06","167.35","MYR",5399,"Online marketplaces","online","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000059","DC00000012","2024-09-09 09:56:12","27.55","MYR",5814,"FAST FOOD","CONTACTLESS","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000065","DC00000045","2024-09-09 15:21:52","818.90","MYR",4511,"airlines and travel","ECOM","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000069","DC00000077","2024-09-09 20:06:05","171.44","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000070","DC00000107","2024-09-09 22:36:46","217.89","MYR",5651,"Clothing","CTLS","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000071","DC00000012","2024-09-10 01:07:49","193.20","MYR",5399,"Online marketplaces","ECOM","00","approved","20240911","2024-09-10T21:00:00"
"AU0000000072","DC00000011","2024-09-10 02:22:45","145.06","MYR",5814,"Fast food","CONTACTLESS","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000073","DC00000085","2024-09-10 02:47:21","86.99","MYR",5411,"groceries","CHIP","00","approved","20240911","2024-09-10T21:00:00"
"AU0000000077","DC00000062","2024-09-10 05:47:53","13.70","MYR",4814,"Telco and bills","CONTACTLESS","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000078","DC00000181","2024-09-10 06:20:00","64.15","MYR",5814,"FAST FOOD","CHIP","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000079","DC00000109","2024-09-10 08:09:46","2.56","MYR",5812,"restaurants","CONTACTLESS","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000080","DC00000103","2024-09-10 09:20:22","133.89","MYR",5399,"ONLINE MARKETPLACES","ECOM","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000083","DC00000069","2024-09-10 12:18:50","64.75","MYR",5912,"Pharmacies","CONTACTLESS","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000085","DC00000106","2024-09-10 13:31:54","428.67","MYR",5399,"online marketplaces","ECOM","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000086","DC00000085","2024-09-10 13:37:34","102.82","MYR",5912,"pharmacies","CTLS","00","approved","20240911","2024-09-10T21:00:00"
"AU0000000087","DC00000012","2024-09-10 13:59:53","53.21","MYR",5812,"Restaurants","CONTACTLESS","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000088","DC00000102","2024-09-10 15:02:40","429.18","MYR",5411,"GROCERIES","CONTACTLESS","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000092","DC00000131","2024-09-10 20:30:21","16.42","MYR",4899,"STREAMING AND SUBSCRIPTIONS","ECOM","00","APPR","20240911","2024-09-10T21:00:00"
"AU0000000093","DC00000107","2024-09-10 21:30:42","230.88","MYR",5399,"ONLINE MARKETPLACES","ECOM","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000094","DC00000119","2024-09-10 21:46:07","86.09","MYR",5814,"Fast food","chip","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000097","DC00000013","2024-09-11 01:48:01","34.63","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000098","DC00000020","2024-09-11 02:43:39","165.91","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000104","DC00000077","2024-09-11 09:19:53","426.89","MYR",5399,"online marketplaces","ECOM","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000105","DC00000085","2024-09-11 09:34:10","14.93","MYR",4121,"e-hailing and taxis","CONTACTLESS","00","APPROVED","20240911","2024-09-10T21:00:00"
"AU0000000046","DC00000163","2024-09-09 00:50:59","44.84","MYR",5411,"GROCERIES","CONTACTLESS","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000063","DC00000102","2024-09-09 14:13:38","182.64","MYR",5399,"online marketplaces","ECOM","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000067","DC00000091","2024-09-09 17:11:55","58.84","MYR",4814,"telco and bills","CONTACTLESS","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000074","DC00000041","2024-09-10 04:21:47","6.99","MYR",5814,"fast food","CHIP","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000090","DC00000150","2024-09-10 15:50:37","41.53","MYR",5814,"Fast food","CONTACTLESS","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000091","DC00000050","2024-09-10 19:44:06","529.60","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000095","DC00000178","2024-09-10 22:05:16","15.24","MYR",4121,"E-hailing and taxis","CONTACTLESS","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000099","DC00000235","2024-09-11 02:53:23","26.69","MYR",5814,"Fast food","CONTACTLESS","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000100","DC00000172","2024-09-11 04:59:22","108.07","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000101","DC00000012","2024-09-11 05:57:35","25.99","MYR",4899,"Streaming and subscriptions","ECOM","00","APPR","20240912","2024-09-11T21:00:00"
"AU0000000103","DC00000172","2024-09-11 06:25:11","37.56","MYR",4121,"E-hailing and taxis","CONTACTLESS","00","APPR","20240912","2024-09-11T21:00:00"
"AU0000000106","DC00000118","2024-09-11 09:37:15","623.52","MYR",4511,"Airlines and travel","ECOM","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000107","DC00000123","2024-09-11 10:02:21","517.46","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000109","DC00000131","2024-09-11 12:21:50","9.08","MYR",5814,"FAST FOOD","chip","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000110","DC00000178","2024-09-11 12:58:28","61.21","MYR",5812,"Restaurants","CHIP","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000111","DC00000062","2024-09-11 15:15:44","132.70","MYR",5399,"ONLINE MARKETPLACES","ecommerce","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000127","DC00000118","2024-09-12 07:26:31","26.34","MYR",5814,"Fast food","EMV","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000133","DC00000131","2024-09-12 11:43:53","9.92","MYR",5814,"Fast food","CONTACTLESS","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000134","DC00000188","2024-09-12 12:19:11","2.75","MYR",5912,"Pharmacies","CONTACTLESS","00","APPROVED","20240912","2024-09-11T21:00:00"
"AU0000000076","DC00000163","2024-09-10 05:39:38","13.59","MYR",4899,"Streaming and subscriptions","ECOM","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000082","DC00000123","2024-09-10 11:34:17","123.56","MYR",5812,"RESTAURANTS","chip","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000096","DC00000085","2024-09-11 01:04:43","6.68","MYR",4121,"e-hailing and taxis","CONTACTLESS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000102","DC00000123","2024-09-11 06:18:25","284.96","MYR",5541,"Fuel","CTLS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000108","DC00000107","2024-09-11 10:43:00","235.38","MYR",5399,"ONLINE MARKETPLACES","ECOM","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000113","DC00000118","2024-09-11 19:42:12","105.11","MYR",5399,"Online marketplaces","ecommerce","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000114","DC00000118","2024-09-11 21:09:30","47.82","MYR",5411,"Groceries","CHIP","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000115","DC00000042","2024-09-11 23:07:27","150.58","MYR",5411,"GROCERIES","CHIP","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000116","DC00000013","2024-09-12 00:09:24","9.04","MYR",5411,"Groceries","CONTACTLESS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000117","DC00000203","2024-09-12 01:47:36","2.40","MYR",5812,"Restaurants","CONTACTLESS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000118","DC00000178","2024-09-12 01:56:30","49.59","MYR",5399,"ONLINE MARKETPLACES","ECOM","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000120","DC00000107","2024-09-12 04:07:49","67.70","MYR",4121,"E-hailing and taxis","CONTACTLESS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000121","DC00000131","2024-09-12 04:54:27","27.80","MYR",5399,"online marketplaces","ECOM","00","approved","20240913","2024-09-12T21:00:00"
"AU0000000122","DC00000103","2024-09-12 04:55:49","15.89","MYR",4121,"E-hailing and taxis","CONTACTLESS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000123","DC00000011","2024-09-12 05:15:49","272.61","MYR",5651,"Clothing","CONTACTLESS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000126","DC00000048","2024-09-12 06:56:01","121.29","MYR",5541,"Fuel","CONTACTLESS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000129","DC00000207","2024-09-12 09:15:22","210.99","MYR",5399,"Online marketplaces","ecommerce","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000130","DC00000091","2024-09-12 10:25:27","27.97","MYR",5812,"RESTAURANTS","CONTACTLESS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000131","DC00000084","2024-09-12 10:51:55","34.74","MYR",4814,"TELCO AND BILLS","CONTACTLESS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000132","DC00000013","2024-09-12 10:59:27","3.45","MYR",4121,"E-hailing and taxis","CONTACTLESS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000135","DC00000091","2024-09-12 12:19:32","134.09","MYR",5399,"Online marketplaces","online","00","Approved","20240913","2024-09-12T21:00:00"
"AU0000000136","DC00000077","2024-09-12 15:02:04","156.13","MYR",4121,"E-hailing and taxis","CONTACTLESS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000138","DC00000062","2024-09-12 17:16:07","77.84","MYR",5814,"Fast food","CHIP","00","Approved","20240913","2024-09-12T21:00:00"
"AU0000000144","DC00000104","2024-09-13 02:23:03","122.24","MYR",4511,"AIRLINES AND TRAVEL","ECOM","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000152","DC00000198","2024-09-13 07:57:32","13.48","MYR",4121,"E-HAILING AND TAXIS","CONTACTLESS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000153","DC00000235","2024-09-13 08:01:53","352.00","MYR",5541,"fuel","CONTACTLESS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000166","DC00000286","2024-09-13 12:52:59","133.98","MYR",5541,"Fuel","CONTACTLESS","00","APPROVED","20240913","2024-09-12T21:00:00"
"AU0000000158","DC00000123","2024-09-13 10:39:48","44.61","MYR",5812,"RESTAURANTS","CHIP","55","Declined","","2024-09-13T10:39:53"
"AU0000000162","DC00000131","2024-09-13 11:32:58","25.18","MYR",5814,"fast food","contactless","00","APPROVED","","2024-09-13T11:33:03"
"AU0000000167","DC00000107","2024-09-13 14:23:30","67.33","MYR",5812,"Restaurants","CHIP","51","DECLINED","","2024-09-13T14:23:35"
"AU0000000119","DC00000045","2024-09-12 03:30:39","489.27","MYR",5651,"clothing","CONTACTLESS","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000128","DC00000056","2024-09-12 08:38:28","3.99","MYR",5812,"Restaurants","EMV","00","APPR","20240914","2024-09-13T21:00:00"
"AU0000000129","DC00000207","2024-09-12 09:15:22","210.99","MYR",5399,"Online marketplaces","ecommerce","00","APPROVED","20240913","2024-09-13T21:00:00"
"AU0000000137","DC00000131","2024-09-12 16:02:26","4.99","MYR",5814,"Fast food","CHIP","00","approved","20240914","2024-09-13T21:00:00"
"AU0000000139","DC00000131","2024-09-12 19:58:12","63.39","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000141","DC00000198","2024-09-13 00:02:01","29.00","MYR",5814,"fast food","CONTACTLESS","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000142","DC00000163","2024-09-13 00:25:45","80.03","MYR",5541,"FUEL","CONTACTLESS","00","approved","20240914","2024-09-13T21:00:00"
"AU0000000143","DC00000286","2024-09-13 01:03:44","17.61","MYR",5814,"FAST FOOD","CONTACTLESS","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000145","DC00000286","2024-09-13 02:27:57","107.40","MYR",4899,"Streaming and subscriptions","ecommerce","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000146","DC00000009","2024-09-13 03:22:36","324.59","MYR",5814,"FAST FOOD","CHIP","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000147","DC00000018","2024-09-13 03:57:59","80.52","MYR",4121,"E-hailing and taxis","CONTACTLESS","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000148","DC00000154","2024-09-13 05:06:35","280.07","MYR",5812,"restaurants","CHIP","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000149","DC00000110","2024-09-13 05:50:01","136.49","MYR",5399,"Online marketplaces","E-COM","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000151","DC00000106","2024-09-13 07:01:20","569.44","MYR",5411,"Groceries","CONTACTLESS","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000154","DC00000106","2024-09-13 08:28:53","49.54","MYR",4899,"streaming and subscriptions","ECOM","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000156","DC00000011","2024-09-13 09:07:43","299.79","MYR",5411,"GROCERIES","CONTACTLESS","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000159","DC00000012","2024-09-13 10:59:39","59.70","MYR",5812,"Restaurants","CONTACTLESS","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000160","DC00000178","2024-09-13 11:12:08","48.53","MYR",5399,"Online marketplaces","ECOM","00","Approved","20240914","2024-09-13T21:00:00"
"AU0000000161","DC00000009","2024-09-13 11:31:31","610.08","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000163","DC00000170","2024-09-13 11:42:56","78.07","MYR",4899,"Streaming and subscriptions","ECOM","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000165","DC00000045","2024-09-13 12:39:51","29.77","MYR",4121,"E-HAILING AND TAXIS","CONTACTLESS","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000169","DC00000020","2024-09-13 15:31:38","416.10","MYR",5651,"clothing","CONTACTLESS","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000170","DC00000235","2024-09-13 15:36:18","76.46","MYR",4814,"Telco and bills","CHIP","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000178","DC00000165","2024-09-13 22:39:34","555.13","MYR",5411,"GROCERIES","CONTACTLESS","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000180","DC00000302","2024-09-13 23:32:27","14.96","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000193","DC00000091","2024-09-14 04:49:11","31.39","MYR",5399,"ONLINE MARKETPLACES","ECOM","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000197","DC00000104","2024-09-14 06:09:43","3.84","MYR",4814,"Telco and bills","CTLS","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000198","DC00000172","2024-09-14 06:31:07","260.17","MYR",5399,"Online marketplaces","ECOM","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000216","DC00000170","2024-09-14 15:56:49","232.91","MYR",5399,"ONLINE MARKETPLACES","E-COM","00","APPROVED","20240914","2024-09-13T21:00:00"
"AU0000000174","DC00000109","2024-09-13 21:25:38","86.67","MYR",5411,"GROCERIES","CONTACTLESS","51","Declined","","2024-09-13T21:25:43"
"AU0000000212","DC00000203","2024-09-14 14:23:12","105.77","MYR",5912,"PHARMACIES","CONTACTLESS","59","DECL","","2024-09-14T14:23:17"
"AU0000000112","DC00000172","2024-09-11 17:28:25","12.96","MYR",4121,"E-hailing and taxis","CONTACTLESS","00","approved","20240915","2024-09-14T21:00:00"
"AU0000000124","DC00000131","2024-09-12 05:25:31","29.72","MYR",5399,"ONLINE MARKETPLACES","ecommerce","00","APPROVED","20240915","2024-09-14T21:00:00"
"AU0000000125","DC00000170","2024-09-12 06:33:28","110.83","MYR",5814,"FAST FOOD","CONTACTLESS","00","APPROVED","20240915","2024-09-14T21:00:00"
