"account_id","balance_date","ledger_balance","currency"
"SA00000164","2024-09-30","27.40","MYR"
"SA00000165","2024-09-30","770.52","MYR"
"SA00000166","2024-09-30","2026.37","MYR"
"SA00000167","2024-09-30","2607.41","MYR"
"SA00000168","2024-09-30","24.48","MYR"
"SA00000169","2024-09-30","3356.14","MYR"
"SA00000170","2024-09-30","175.04","MYR"
"SA00000171","2024-09-30","3342.81","MYR"
"SA00000172","2024-09-30","197.68","MYR"
"SA00000173","2024-09-30","259.61","MYR"
"SA00000174","2024-09-30","26.37","MYR"
"SA00000175","2024-09-30","1610.39","MYR"
"SA00000176","2024-09-30","20.22","MYR"
"SA00000177","2024-09-30","304.62","MYR"
"SA00000178","2024-09-30","176.79","MYR"
"SA00000179","2024-09-30","523.63","MYR"
"SA00000180","2024-09-30","279.63","MYR"
"SA00000181","2024-09-30","325.22","MYR"
"SA00000182","2024-09-30","293.91","MYR"
"SA00000183","2024-09-30","20.61","MYR"
"SA00000184","2024-09-30","13.32","MYR"
"SA00000185","2024-09-30","48622.57","MYR"
"SA00000186","2024-09-30","1087.27","MYR"
"SA00000187","2024-09-30","181.63","MYR"
"SA00000188","2024-09-30","300.94","MYR"
"SA00000189","2024-09-30","14035.34","MYR"
"SA00000190","2024-09-30","90.01","MYR"
"SA00000191","2024-09-30","582.38","MYR"
"SA00000192","2024-09-30","169.29","MYR"
"SA00000193","2024-09-30","924.30","MYR"
